Item;category
4.1;Entendendo a organização e seu contexto
4.2;Entendendo as necessidades e expectativas de partes interessadas
4.3;Determinando o escopo do sistema de gestão da qualidade
4.4;Sistema de gestão da qualidade e seus processos
5.1;Liderança e comprometimento
5.2;Política
5.3;Papéis, responsabilidades e autoridades organizacionais
6.1;Ações para abordar riscos e oportunidades
6.2;Objetivos da qualidade e planejamento para alcançá-los
6.3;Planejamento de mudanças
7.1;Recursos
7.2;Competência
7.3;Conscientização
7.4;Comunicação
7.5;Informação documentada
8.1;Planejamento e controle operacionais
8.2;Requisitos para produtos e serviços
8.3;Projeto e desenvolvimento de produtos e serviços
8.4;Controle de processos, produtos e serviços providos externamente
8.5;Produção e provisão de serviço
8.6;Liberação de produtos e serviços
8.7;Controle de saídas não conformes
9.1;Monitoramento, medição, análise e avaliação
9.2;Auditoria interna
9.3;Análise crítica pela direção
10.1;Generalidades (melhoria)
10.2;Não conformidade e ação corretiva
10.3;Melhoria contínua
